"Story","Title","Result","Date","Stability","Duration (s)"
"Get user Info","Get User","SUCCESS","2022-10-31T07:11:12.8851802+07:00[Asia/Jakarta]","0.0","5.08"
"Login","Login with email and password","SUCCESS","2022-10-31T07:11:12.820216+07:00[Asia/Jakarta]","0.0","10.55"
"Register","Register with email password and fullname","SUCCESS","2022-10-31T07:11:12.9331491+07:00[Asia/Jakarta]","0.0","11.73"
"Hello","Home","SUCCESS","2022-10-31T07:11:12.8931757+07:00[Asia/Jakarta]","0.0","5.07"
"Order","Create order","SUCCESS","2022-10-31T07:11:12.9021711+07:00[Asia/Jakarta]","0.0","6.49"
"Order","Get all order","SUCCESS","2022-10-31T07:11:19.4014061+07:00[Asia/Jakarta]","0.0","1.45"
"Order","Get order by id","SUCCESS","2022-10-31T07:11:20.8587644+07:00[Asia/Jakarta]","0.0","3.84"
"Product Category","Product category create","SUCCESS","2022-10-31T07:11:12.9161611+07:00[Asia/Jakarta]","0.0","9.16"
"Product Category","Get all category Product","SUCCESS","2022-10-31T07:11:22.1008565+07:00[Asia/Jakarta]","0.0","1.28"
"Product Category","Get category by id","SUCCESS","2022-10-31T07:11:23.3985952+07:00[Asia/Jakarta]","0.0","3.89"
"Product","Get Product","SUCCESS","2022-10-31T07:11:12.6194637+07:00[Asia/Jakarta]","0.0","5.6"
"Product","Get Product By id","SUCCESS","2022-10-31T07:11:18.2296358+07:00[Asia/Jakarta]","0.0","1.27"
